Seq	sample	Entrez_old	Entrez	Symbol
10574	CDCA5	113130	113130	CDCA5
10575	CDCA8	55143	55143	CDCA8
10576	MID1	4281	4281	MID1
10577	GFAP	2670	2670	GFAP
10578	UTS2	10911	10911	UTS2
10579	RADIL	55698	55698	RADIL
10580	FAM108C1	58489	58489	ABHD17C
10581	XYLT1	64131	64131	XYLT1
10582	METAP1	23173	23173	METAP1
10583	METTL11B	149281	149281	METTL11B
10584	ZNF717	100131827	100131827	ZNF717
10585	RSF1	51773	51773	RSF1
10586	TTTY20	252951	252951	TTTY20
10587	VPS53	55275	55275	VPS53
10588	OR2Z1	284383	284383	OR2Z1
10589	OAF	220323	220323	OAF
10590	KCNF1	3754	3754	KCNF1
10591	PLB1	151056	151056	PLB1
10592	SLC31A1	1317	1317	SLC31A1
10593	MUC4	4585	4585	MUC4
10594	PCDH18	54510	54510	PCDH18
10595	SASH1	23328	23328	SASH1
10596	CT47A7	653282	653282	CT47A7
10597	CT47A6	728062	728062	CT47A6
10598	TCL1A	8115	8115	TCL1A
10599	PCDH19	57526	57526	PCDH19
10600	CT47A2	728090	728090	CT47A2
10601	CT47A1	728096	728096	CT47A1
10602	ZSCAN12P1	221584	221584	ZSCAN12P1
10603	FLJ10213	55096	55096	EBLN2
10604	RG9MTD3	158234	158234	TRMT10B
10605	CYB5A	1528	1528	CYB5A
10606	CT47A9	728042	728042	CT47A9
10607	RALB	5899	5899	RALB
10608	TMLHE	55217	55217	TMLHE
10609	SNORD109B	338429	338429	SNORD109B
10610	TFEB	7942	7942	TFEB
10611	ZFAND2B	130617	130617	ZFAND2B
10612	POU3F3	5455	5455	POU3F3
10613	SS18L2	51188	51188	SS18L2
10614	NBPF22P	285622	285622	NBPF22P
10615	TP53TG1	11257	11257	TP53TG1
10616	IGDCC3	9543	9543	IGDCC3
10617	DMRTC1B	728656	728656	DMRTC1B
10618	TMEM63A	9725	9725	TMEM63A
10619	HLA-DMA	3108	3108	HLA-DMA
10620	PCK2	5106	5106	PCK2
10621	RRP7B	91695	91695	RRP7BP
10622	NPAS4	266743	266743	NPAS4
10623	SYTL1	84958	84958	SYTL1
10624	SYTL3	94120	94120	SYTL3
10625	SYTL2	54843	54843	SYTL2
10626	OR51Q1	390061	390061	OR51Q1
10627	FADS3	3995	3995	FADS3
10628	POMT1	10585	10585	POMT1
10629	SPRED2	200734	200734	SPRED2
10630	PTHLH	5744	5744	PTHLH
10631	OR10K2	391107	391107	OR10K2
10632	OR10K1	391109	391109	OR10K1
10633	OR10G4	390264	390264	OR10G4
10634	RNU6ATAC	100151684	100151684	RNU6ATAC
10635	ZNF652	22834	22834	ZNF652
10636	OR10G3	26533	26533	OR10G3
10637	KIR3DP1	768329	548594	KIR3DP1
10638	OR10G2	26534	26534	OR10G2
10639	WDFY1	57590	57590	WDFY1
10640	LOC100272217	100272217	100272217	LOC100272217
10641	LOC100272216	100272216	Withdrawn	LOC100272216
10642	ASTL	431705	431705	ASTL
10643	KRT73	319101	319101	KRT73
10644	FAM182B	728882	728882	FAM182B
10645	PRL	5617	5617	PRL
10646	FAM182A	284800	284800	FAM182A
10647	PLEKHH3	79990	79990	PLEKHH3
10648	PLEKHH2	130271	130271	PLEKHH2
10649	PLEKHH1	57475	57475	PLEKHH1
10650	RELT	84957	84957	RELT
10651	ESRP2	80004	80004	ESRP2
10652	ESRP1	54845	54845	ESRP1
10653	PPP1R2P9	80316	80316	PPP1R2C
10654	RELN	5649	5649	RELN
10655	RELB	5971	5971	RELB
10656	NANOS1	340719	340719	NANOS1
10657	HDGF	3068	3068	HDGF
10658	PRX	57716	57716	PRX
10659	ZMPSTE24	10269	10269	ZMPSTE24
10660	MRPL36	64979	64979	MRPL36
10661	CRISPLD2	83716	83716	CRISPLD2
10662	CRISPLD1	83690	83690	CRISPLD1
10663	ATM	472	472	ATM
10664	MRPL32	64983	64983	MRPL32
10665	MRPL33	9553	9553	MRPL33
10666	MRPL30	51263	51263	MRPL30
10667	PTRH2	51651	51651	PTRH2
10668	CLEC17A	388512	388512	CLEC17A
10669	SNORD45B	26804	26804	SNORD45B
10670	ZNF550	162972	162972	ZNF550
10671	PTH2R	5746	5746	PTH2R
10672	MRPL38	64978	64978	MRPL38
10673	CYYR1	116159	116159	CYYR1
10674	FAM69C	125704	125704	DIPK1C
10675	ESX1	80712	80712	ESX1
10676	FAM69A	388650	388650	DIPK1A
